Epic,Total Characters,Major Characters,Minor Characters,Major Within-Group Similarity,Minor Within-Group Similarity,Between-Group Similarity,H1 p-value,H1 Supported
Iliad,26,18,8,0.47805744750734147,0.37507160695034536,0.4069757241444305,2.5983109080752817e-06,True
Odyssey,17,11,6,0.4531898465722304,0.302115193700712,0.3519237052283003,5.56484995122078e-05,True
